Model,Arch,Mode,N,N_par,Acc_w,Acc,Gen,Acc_s,Acc_b
clip-vit-large-patch14-inter,T,Co,4,3.0e+08,0.774,0.740,0.092,0.735,0.723
clip-vit-large-patch14-un,T,Co,4,3.0e+08,0.741,0.686,0.150,0.650,0.649
clip-vit-base-patch16**,T,Co,4,8.6e+07,0.730,0.678,0.182,0.639,0.653
BEiT-Large,T,M,3,3.0e+08,0.768,0.719,0.152,0.657,0.658
BEiT-Large-inter*,T,M,3,3.0e+08,0.766,0.730,0.134,0.717,0.732
BEiT-Base**,T,M,3,8.7e+07,0.765,0.711,0.133,0.677,0.665
trocr-large-handwritten-inter,T,TR,12,3.0e+08,0.753,0.694,0.129,0.669,0.672
trocr-large-handwritten*,T,TR,12,3.0e+08,0.712,0.664,0.082,0.618,0.643
trocr-base-stage1,T,TR,12,8.7e+07,0.710,0.679,0.110,0.662,0.618
convnext_large,C,C,30,2.0e+08,0.735,0.699,0.100,0.677,0.689
efficientnet_v2_s,C,C,30,2.0e+07,0.728,0.690,0.114,0.691,0.656
convnext_large-inter*,C,C,30,4.8e+06,0.728,0.700,0.128,0.684,0.678
resnet50**,C,C,30,2.4e+07,0.689,0.643,0.117,0.617,0.638
vgg16**,C,C,30,1.3e+08,0.642,0.599,0.086,0.575,0.625
resnet18**,C,C,30,1.1e+07,0.640,0.597,0.118,0.586,0.583
DeiT-Small,T,C+D,5,2.2e+07,0.730,0.674,0.091,0.670,0.669
DeiT-Base**,T,C+D,5,8.7e+07,0.698,0.651,0.074,0.666,0.660
DeiT-Tiny-inter,T,C+D,5,5.5e+06,0.690,0.663,0.094,0.628,0.648
DeiT-Tiny*,T,C+D,5,5.7e+06,0.684,0.647,0.101,0.649,0.656
swin_s,T,C,7,3.3e+07,0.730,0.687,0.121,0.688,0.662
vit-base-patch16-224-in21k**,T,C,7,8.6e+07,0.713,0.667,0.118,0.628,0.672
linknet_resnet18,C,TD,6,1.1e+07,0.717,0.684,0.166,0.688,0.677
dresnet50,C,TD,6,2.4e+07,0.715,0.663,0.191,0.650,0.685
dresnet50-inter*,C,TD,6,2.4e+07,0.709,0.684,0.160,0.652,0.699
crnn_vgg16_bn_224-inter,C,TR,8,1.7e+06,0.704,0.681,0.141,0.652,0.659
crnn_vgg16_bn_224*,C,TR,8,1.5e+07,0.680,0.642,0.154,0.635,0.619
sar_resnet31_224,C,TR,8,4.6e+07,0.648,0.626,0.136,0.620,0.602
