FE model,generalization_standard,generalization_std_standard,generalization_ind_standard,generalization_ind_std_standard
BEiT-Base,0.1330049261083744,0.12232495835054727,0.08313423645320195,0.08855642769667357
BEiT-Large,0.15172413793103448,0.10144457284116509,0.10097906403940886,0.07687248421616104
BEiT-Large-inter,0.13362068965517243,0.07626499380775546,0.09553571428571431,0.06584452490938485
DeiT-Base,0.07361453201970443,0.09952203437898068,0.05091133004926109,0.059181615902666816
DeiT-Small,0.09131773399014778,0.08747117873267732,0.05211822660098524,0.05247531887907498
DeiT-Small-Dist,0.07817118226600986,0.09351023316543428,0.04645935960591134,0.06149863167477305
DeiT-Tiny,0.10089285714285712,0.0804525826133126,0.061052955665024666,0.05608000201425724
DeiT-Tiny-inter,0.09381157635467981,0.0819435943541036,0.07006157635467979,0.06758943262168203
alexnet,0.013146551724137928,0.08162601965995546,0.004476600985221682,0.05887593810245821
alexnet_gap,0.0937807881773399,0.07725761699267666,0.04160714285714286,0.05674706968574161
clip-vit-base-patch16,0.18232758620689654,0.1108818842194369,0.14595443349753695,0.07840043350752765
clip-vit-base-patch32,0.1804802955665025,0.09176734281517371,0.1335899014778325,0.060296387452052326
clip-vit-large-patch14,0.19408866995073892,0.09466442844317502,0.14858990147783252,0.09458611116148281
clip-vit-large-patch14-inter,0.09214901477832513,0.09583688038136094,0.06542487684729062,0.07019367240842768
clip-vit-large-patch14-un,0.14972290640394087,0.07261057921622613,0.11206280788177343,0.05333256690158799
convnext_base,0.12487684729064039,0.10628346382535217,0.0879125615763547,0.07949430859544704
convnext_large,0.10018472906403944,0.11105856772909944,0.06967980295566505,0.08361165313158647
convnext_large-inter,0.12835591133004925,0.08190615221145864,0.09455049261083745,0.07018816246419836
convnext_small,0.14510467980295566,0.11021088558663739,0.11282635467980295,0.0913901251932145
crnn_mobilenet,0.03879310344827588,0.09454727939738539,0.029242610837438433,0.06630979748376432
crnn_mobilenet_224,0.10726600985221676,0.0884365085255258,0.07261083743842364,0.07271878526687515
crnn_mobilenet_224-inter,0.04753694581280789,0.061648848951609866,0.05398399014778323,0.050407898946873406
crnn_vgg16_bn,0.07164408866995073,0.08134683347285006,0.04233374384236453,0.0566224347425654
crnn_vgg16_bn_224,0.15384852216748768,0.09706810206166278,0.1059113300492611,0.08033415578203315
