FE model,accuracies_standard,accuracies_std_standard,ind_accuracies_standard,ind_accuracies_std_standard,accuracies_single,accuracies_std_single,ind_accuracies_single,ind_accuracies_std_single,accuracies_body,accuracies_std_body,ind_accuracies_body,ind_accuracies_std_body,generalization_standard,generalization_std_standard,generalization_ind_standard,generalization_ind_std_standard
BEiT-Base,0.7650246305418719,0.05574476475066901,0.7111884236453202,0.03605013492644251,0.6773706896551724,0.03842617391342003,0.6773706896551724,0.03842617391342003,0.6648399014778326,0.05230116648392385,0.6648399014778326,0.05230116648392385,0.1330049261083744,0.12232495835054727,0.08313423645320195,0.08855642769667357
BEiT-Large,0.767826354679803,0.06121142633474449,0.718713054187192,0.04768915505670111,0.6569889162561576,0.02590142223455539,0.6569889162561576,0.02590142223455539,0.6576354679802956,0.05577964707128333,0.6576354679802956,0.05577964707128333,0.15172413793103448,0.10144457284116509,0.10097906403940886,0.07687248421616104
BEiT-Large-inter,0.7660406403940887,0.051910994367056436,0.7296490147783252,0.03704350026654309,0.7171798029556651,0.049544711503475135,0.7171798029556651,0.049544711503475135,0.7319273399014777,0.04469846417894377,0.7319273399014777,0.04469846417894377,0.13362068965517243,0.07626499380775546,0.09553571428571431,0.06584452490938485
DeiT-Base,0.6976600985221675,0.02015485425800377,0.6510591133004926,0.018926608254951537,0.6663177339901478,0.06930606783047745,0.6663177339901478,0.06930606783047745,0.6601908866995073,0.06053805177446432,0.6601908866995073,0.06053805177446432,0.07361453201970443,0.09952203437898068,0.05091133004926109,0.059181615902666816
DeiT-Small,0.7303571428571429,0.05193789399310982,0.6735283251231527,0.03939143366324417,0.6701046798029557,0.06855985133896057,0.6701046798029557,0.06855985133896057,0.6692118226600985,0.05520985545610579,0.6692118226600985,0.05520985545610579,0.09131773399014778,0.08747117873267732,0.05211822660098524,0.05247531887907498
DeiT-Small-Dist,0.7133004926108375,0.04962378023589973,0.6681650246305418,0.04352700934313375,0.6460283251231528,0.0546699640689914,0.6460283251231528,0.0546699640689914,0.6617610837438423,0.04803452986757163,0.6617610837438423,0.04803452986757163,0.07817118226600986,0.09351023316543428,0.04645935960591134,0.06149863167477305
DeiT-Tiny,0.6840825123152708,0.06054312479163542,0.6473152709359606,0.04575025524553569,0.6485837438423646,0.05573871081986309,0.6485837438423646,0.05573871081986309,0.6558805418719211,0.034912774961045404,0.6558805418719211,0.034912774961045404,0.10089285714285712,0.0804525826133126,0.061052955665024666,0.05608000201425724
DeiT-Tiny-inter,0.6904248768472906,0.051063145828108746,0.6625800492610837,0.04562158042913197,0.6282943349753695,0.045890922152075686,0.6282943349753695,0.045890922152075686,0.6479371921182266,0.03475717962385451,0.6479371921182266,0.03475717962385451,0.09381157635467981,0.0819435943541036,0.07006157635467979,0.06758943262168203
alexnet,0.6283559113300492,0.04766869974002853,0.5864100985221675,0.031050667377487212,0.5948583743842365,0.028977694468947383,0.5948583743842365,0.028977694468947383,0.554679802955665,0.03925805309674292,0.554679802955665,0.03925805309674292,0.013146551724137928,0.08162601965995546,0.004476600985221682,0.05887593810245821
alexnet_gap,0.6636699507389163,0.0755316510004016,0.624642857142857,0.047010179938864756,0.5908866995073891,0.06295768983268372,0.5908866995073891,0.06295768983268372,0.6313423645320196,0.041169031596110885,0.6313423645320196,0.041169031596110885,0.0937807881773399,0.07725761699267666,0.04160714285714286,0.05674706968574161
clip-vit-base-patch16,0.7303879310344827,0.045668332911260684,0.6775307881773399,0.04588399947171347,0.6390394088669951,0.07975364608846047,0.6390394088669951,0.07975364608846047,0.6529864532019705,0.04334062342623254,0.6529864532019705,0.04334062342623254,0.18232758620689654,0.1108818842194369,0.14595443349753695,0.07840043350752765
clip-vit-base-patch32,0.6895012315270936,0.04103089234154871,0.6563608374384237,0.035621993562350095,0.6241687192118227,0.06157820963954778,0.6241687192118227,0.06157820963954778,0.6326662561576355,0.03607119784331182,0.6326662561576355,0.03607119784331182,0.1804802955665025,0.09176734281517371,0.1335899014778325,0.060296387452052326
clip-vit-large-patch14,0.7233066502463055,0.03324668425849102,0.6926046798029557,0.03741359700312147,0.6668411330049261,0.03716388076348995,0.6668411330049261,0.03716388076348995,0.6497229064039409,0.05783213893529656,0.6497229064039409,0.05783213893529656,0.19408866995073892,0.09466442844317502,0.14858990147783252,0.09458611116148281
