writer,male,file_name,isEng,same_text,x,y,x2,y2,n_cc,black_ratio
0007,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0007_1.jpg,0,0,0,0,1024,1024,2,0.9999923706054688
0008,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0008_1.jpg,0,0,0,0,923,923,2,0.9999906095461006
0007,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0007_1.jpg,0,0,681,0,1705,1024,2,0.9999828338623047
0007,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0007_1.jpg,0,0,0,681,1024,1705,2,0.9999780654907227
0008,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0008_1.jpg,0,0,613,0,1536,923,2,0.9992874993103885
0008,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0008_1.jpg,0,0,0,613,923,1536,3,0.9984810940817838
0007,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0007_1.jpg,0,0,681,681,1705,1705,4,0.9981184005737305
0007,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0007_1.jpg,0,0,0,1362,1024,2386,4,0.9980697631835938
0007,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0007_1.jpg,0,0,1362,0,2386,1024,12,0.9961948394775391
0008,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0008_1.jpg,0,0,613,613,1536,1536,71,0.9710973567046081
0007,1,c:\Users\andre\VsCode\PD related projects\gender_detection\notebooks\pipeline_single_model\datasets\custom\0007_1.jpg,0,0,2043,0,3067,1024,279,0.9666881561279297
