writer,same_text,isEng,train,file_name,male,x,y,x2,y2,n_cc
190,0,0,1,D:\download\PD project\datasets\ICDAR 2013 - Gender Identification Competition Dataset\unzipped\151_200\0190_1.jpg,1,988,494,1482,988,315
24,0,1,1,D:\download\PD project\datasets\ICDAR 2013 - Gender Identification Competition Dataset\unzipped\1_50\0024_3.jpg,0,990,495,1485,990,311
26,1,1,1,D:\download\PD project\datasets\ICDAR 2013 - Gender Identification Competition Dataset\unzipped\1_50\0026_4.jpg,1,494,1976,988,2470,309
190,0,0,1,D:\download\PD project\datasets\ICDAR 2013 - Gender Identification Competition Dataset\unzipped\151_200\0190_1.jpg,1,494,494,988,988,303
160,0,1,1,D:\download\PD project\datasets\ICDAR 2013 - Gender Identification Competition Dataset\unzipped\151_200\0160_3.jpg,0,1482,494,1976,988,297
4,0,0,1,D:\download\PD project\datasets\ICDAR 2013 - Gender Identification Competition Dataset\unzipped\1_50\0004_1.jpg,0,494,494,988,988,294
160,0,1,1,D:\download\PD project\datasets\ICDAR 2013 - Gender Identification Competition Dataset\unzipped\151_200\0160_3.jpg,0,988,494,1482,988,283
4,0,0,1,D:\download\PD project\datasets\ICDAR 2013 - Gender Identification Competition Dataset\unzipped\1_50\0004_1.jpg,0,1482,494,1976,988,274
160,0,0,1,D:\download\PD project\datasets\ICDAR 2013 - Gender Identification Competition Dataset\unzipped\151_200\0160_1.jpg,0,0,494,494,988,269
26,1,1,1,D:\download\PD project\datasets\ICDAR 2013 - Gender Identification Competition Dataset\unzipped\1_50\0026_4.jpg,1,988,2470,1482,2964,259
26,1,1,1,D:\download\PD project\datasets\ICDAR 2013 - Gender Identification Competition Dataset\unzipped\1_50\0026_4.jpg,1,988,1976,1482,2470,258
209,0,0,0,D:\download\PD project\datasets\ICDAR 2013 - Gender Identification Competition Dataset\unzipped\201_250\0209_1.jpg,0,988,494,1482,988,252
